ID,Latitude,Longitude,ward
145,43.51529,-80.238979,5
146,43.51529,-80.238979,5
147,43.52177,-80.24135,5
148,43.516068,-80.233874,5
149,43.572218,-80.228684,1
150,43.572218,-80.228684,1
151,43.512517,-80.255331,5
152,43.705791,-80.377738,
153,43.517392,-80.205824,6
154,43.392551,-80.408646,
155,43.513013,-80.174254,6
156,43.5322,-80.279728,4
157,43.514403,-80.252519,5
158,43.514403,-80.252519,5
159,43.514995,-80.190296,6
160,0,0,
161,43.511832,-80.185233,6
162,43.510387,-80.22826,5
163,43.52108,-80.246595,5
164,43.52108,-80.246595,5
165,43.514126,-80.233399,5
166,43.511017,-80.198814,6
167,43.521273,-80.217559,5
168,43.532021,-80.23578,5
169,43.521629,-80.224783,5
170,43.512392,-80.248532,5
171,43.514819,-80.216281,6
172,43.53277,-80.233775,5
173,43.513616,-80.199756,6
174,43.513616,-80.199756,6
175,43.532108,-80.235094,5
176,43.512499,-80.217513,6
177,43.537135,-80.257328,3
178,43.539201,-80.260922,3
179,43.531607,-80.239036,5
180,43.501764,-80.195591,6
181,43.543367,-80.238353,1
182,43.486526,-80.109357,
183,42.99656,-81.290842,
184,43.517108,-80.219318,5
185,43.520533,-80.209927,6
186,43.509125,-80.198001,6
187,43.510926,-80.225114,6
188,43.532556,-80.179159,
189,43.526967,-80.275862,4
190,43.522819,-80.308487,4
191,43.502135,-80.195627,6
192,43.531477,-80.240724,5
193,44.47024,-80.100928,
194,43.531507,-80.234979,5
195,43.511608,-80.198839,6
196,43.520065,-80.210328,6
197,43.512989,-80.235655,5
198,43.52108,-80.246595,5
199,43.558015,-80.227052,1
200,43.581645,-80.255667,2
201,43.520751,-80.188248,6
202,43.522939,-80.246246,5
203,43.517392,-80.205824,6
204,43.520448,-80.238336,5
205,43.522906,-80.236266,5
206,43.52108,-80.246595,5
207,43.52108,-80.246595,5
208,43.520448,-80.238336,5
209,43.512499,-80.217513,6
210,43.545476,-80.258966,3
211,43.531435,-80.249626,5
212,43.511675,-80.175998,6
213,43.514499,-80.17619,6
214,43.510088,-80.252094,5
215,43.505736,-80.183692,6
216,43.517131,-80.180278,6
217,43.501739,-80.19204,6
218,43.565125,-80.239916,1
219,43.575279,-80.252519,2
220,43.556198,-80.263407,2
221,43.511675,-80.175998,6
222,43.520751,-80.188248,6
223,43.543391,-80.271159,3
224,43.537509,-80.239938,5
225,43.49873,-80.239342,6
226,43.552069,-80.249823,1
227,43.518404,-80.2468,5
228,43.548694,-80.237408,1
229,43.529083,-80.220936,5
230,43.510642,-80.177792,6
231,43.509178,-80.233745,5
232,43.511782,-80.211976,6
233,43.52247,-80.186936,6
234,43.509377,-80.197029,6
235,43.523277,-80.235702,5
236,43.504634,-80.19102,6
237,43.515768,-80.216951,6
238,43.550381,-80.223666,1
239,43.518124,-80.205524,6
240,43.531507,-80.234979,5
241,43.518383,-80.188498,6
242,43.513493,-80.237696,5
243,43.512826,-80.208971,6
244,43.531439,-80.239238,5
245,43.517808,-80.245376,5
246,43.518266,-80.215441,5
247,43.516376,-80.253291,5
248,43.517796,-80.233177,5
249,43.511829,-80.218511,6
250,43.511829,-80.218511,6
251,43.531477,-80.240724,5
252,43.533179,-80.23993,5
253,43.514595,-80.235239,5
254,43.510236,-80.232852,5
255,43.522625,-80.23496,5
256,43.522439,-80.23548,5
257,43.516799,-80.178378,6
258,43.535363,-80.243933,5
259,43.510119,-80.196152,6
260,43.531423,-80.234048,5
261,43.528392,-80.238167,5
262,43.503783,-80.188407,6
263,43.510236,-80.232852,5
264,43.512919,-80.200757,6
265,43.557876,-80.235268,1
266,43.535515,-80.238955,5
267,43.545004,-80.248554,1
268,43.511938,-80.237289,5
269,43.517392,-80.205824,6
270,43.509846,-80.232331,5
271,43.530999,-80.236234,5
272,43.530999,-80.236234,5
273,43.517471,-80.239799,5
274,0,0,
275,43.536117,-80.237619,5
276,43.522906,-80.236266,5
277,43.52233,-80.184259,6
278,43.5372,-80.253651,5
279,43.544805,-80.248167,1
280,43.531498,-80.234119,5
281,43.511994,-80.247251,5
282,43.532499,-80.237436,5
283,43.513692,-80.209367,6
284,43.248768,-81.129678,
285,43.523683,-80.216012,5
286,43.531477,-80.240724,5
287,43.54356,-80.234584,1
288,43.523277,-80.235702,5
289,43.532453,-80.236123,5
290,43.523277,-80.235702,5
291,43.501674,-80.183749,6
292,43.522454,-80.236549,5
293,43.520236,-80.231597,5
294,43.519504,-80.209275,6
295,43.908788,-80.126483,
296,43.513692,-80.209367,6
297,43.523277,-80.235702,5
298,0,0,
299,43.532669,-80.235977,5
300,43.532669,-80.235977,5
301,43.509916,-80.195178,6
302,43.502824,-80.195395,6
303,43.471341,-80.527073,
304,43.471341,-80.527073,
305,43.550687,-80.251212,2
306,43.509916,-80.195178,6
307,43.550687,-80.251212,2
308,43.519504,-80.209275,6
309,43.541311,-80.246743,5
310,43.514499,-80.17619,6
311,43.511283,-80.195784,6
312,43.511283,-80.195784,6
313,43.495087,-80.195846,6
314,43.531498,-80.234119,5
315,43.533177,-80.251472,5
316,43.508193,-80.181732,6
317,43.544578,-80.257812,3
318,43.519504,-80.209275,6
319,43.529257,-80.238039,5
320,43.531607,-80.239036,5
321,43.518992,-80.207445,6
322,43.524487,-80.219971,5
323,43.695688,-80.385606,
324,0,0,
325,43.575407,-80.220179,1
326,43.545886,-80.238588,1
327,43.715259,-80.383455,
328,43.545886,-80.238588,1
329,30.43896,-90.240083,
330,43.228828,-80.566066,
331,0,0,
332,43.497779,-80.232401,6
333,43.514914,-80.173582,6
334,43.265072,-79.875009,
335,43.531464,-80.233719,5
336,43.544596,-80.234004,1
337,43.528754,-80.289795,4
338,43.52573,-80.270114,4
339,45.391217,-75.616602,
340,43.557851,-80.267065,2
341,43.529045,-80.206364,6
342,43.983741,-80.735173,
343,43.530214,-80.289447,4
344,43.530214,-80.289447,4
345,43.520533,-80.209927,6
346,43.528323,-80.217898,5
347,43.536123,-80.274165,3
348,43.519294,-80.207151,6
349,43.83763,-80.848681,
350,43.5322,-80.279728,4
351,0,0,
352,43.549355,-80.258139,3
353,42.969645,-82.379482,
354,43.683715,-80.430543,
355,43.543391,-80.271159,3
356,43.561306,-80.257264,2
357,43.687522,-80.42528,
358,43.981093,-80.735865,
359,43.544805,-80.248167,1
360,43.558024,-80.268734,3
361,43.515063,-80.21135,6
362,43.552346,-80.260788,3
363,43.512996,-80.221929,5
364,43.542189,-80.258006,3
365,43.562475,-80.235117,1
366,43.978925,-80.735914,
367,43.834014,-80.842608,
368,45.420031,-75.687979,
369,43.979636,-80.737492,
370,43.533177,-80.251472,5
371,43.511808,-80.231618,5
372,43.515125,-80.211272,6
373,43.541935,-80.247452,1
374,43.529925,-80.260888,5
375,43.544805,-80.248167,1
376,43.559393,-80.222588,1
377,43.557111,-80.217273,1
378,43.544945,-80.244379,1
379,43.518559,-80.178037,
380,43.537431,-80.253449,5
381,43.680809,-80.430297,
382,43.519742,-80.241704,5
383,43.565193,-80.235239,1
384,43.527056,-80.273423,4
385,43.54878,-80.22815,1
386,43.165434,-81.854665,
387,0,0,
388,43.69615,-80.012134,
389,43.615182,-80.147643,
390,43.512826,-80.208971,6
391,43.683033,-80.430809,
392,43.509793,-80.229207,6
393,43.455895,-80.468372,
394,43.537509,-80.239938,5
395,43.54143,-80.266813,3
396,43.514874,-80.194487,6
397,43.680809,-80.430297,
398,0,0,
399,43.578503,-80.147003,
400,43.511112,-80.200122,6
401,43.54477,-80.247356,1
402,43.564044,-80.222197,1
403,43.835371,-80.521618,
404,43.591102,-80.207091,
405,43.508678,-80.226899,6
406,43.520016,-80.207245,6
407,43.543881,-80.264714,3
408,48.575231,-92.241522,
409,43.70424,-80.365798,
410,43.526889,-80.308079,4
411,43.794106,-80.32253,
412,43.537117,-80.253698,5
413,44.362903,-79.672599,
414,43.544678,-80.270927,3
415,43.543557,-80.274157,3
416,43.56323,-80.261229,2
417,43.575209,-80.255302,2
418,43.577642,-80.262878,2
419,43.538717,-80.272372,3
420,44.04362,-77.728482,
421,43.494789,-80.5579,
422,43.518599,-80.244543,5
423,43.251297,-79.080551,
424,43.545484,-80.248331,1
425,43.501892,-80.200101,6
426,43.5445,-80.262862,3
427,43.704112,-80.384736,
428,43.83207,-80.537791,
429,43.576213,-80.263573,2
430,43.556868,-80.280851,3
431,43.565595,-80.22638,1
432,43.552964,-80.233424,1
433,43.512258,-80.178284,6
434,43.506152,-80.228559,6
435,43.512826,-80.208971,6
436,43.548849,-80.251496,2
437,43.550814,-80.24719,1
438,43.70197,-80.368667,
439,43.533701,-80.25641,5
440,43.514735,-80.227136,5
441,43.581105,-80.225244,2
442,43.712827,-80.378848,
443,43.498964,-80.194376,6
444,43.544236,-80.238492,1
445,43.572543,-80.246669,2
446,43.512321,-80.236769,5
447,43.516403,-80.191114,6
448,43.507296,-80.191864,6
449,43.920316,-80.096868,
450,43.532838,-80.279664,4
451,43.688403,-80.430244,
452,43.701792,-80.380427,
453,43.707105,-80.373668,
454,43.535567,-80.253294,5
455,43.704296,-80.385405,
456,43.54477,-80.247356,1
457,0,0,
458,43.5104,-80.252867,5
459,43.55029,-80.258085,3
460,43.530645,-80.19469,
461,43.566229,-80.246282,1
462,43.69174,-80.44906,
463,43.705791,-80.377738,
464,43.523466,-80.299373,4
465,43.6773,-80.429398,
466,43.530121,-80.303082,4
467,43.543391,-80.271159,3
468,43.517803,-80.231376,5
469,43.551313,-80.298076,4
470,43.580861,-80.260358,2
471,43.574113,-80.216446,1
472,43.557709,-80.268456,3
473,43.574325,-80.249199,2
474,43.543187,-80.274389,3
475,43.537294,-80.277458,4
476,43.572373,-80.251996,2
477,43.554729,-80.271877,3
478,43.563242,-80.27121,2
479,43.516001,-80.177334,6
480,43.513757,-80.216644,6
481,0,0,
482,43.708455,-80.371259,
483,43.538546,-80.252337,5
484,43.531335,-80.29324,4
485,43.522156,-80.284048,4
486,43.559979,-80.269394,2
487,43.706526,-80.373348,
488,43.530376,-80.260376,5
489,43.544805,-80.248117,1
490,43.683333,-80.430178,
491,43.544882,-80.261832,3
492,43.550966,-80.23226,1
493,43.554729,-80.271877,3
494,43.529639,-80.203158,6
495,43.55179,-80.225572,1
496,43.537287,-80.239672,5
497,43.566287,-80.222472,1
498,43.57709,-80.259322,2
499,43.549261,-80.24067,1
500,43.53539,-80.219583,5
501,43.709047,-79.39534,
502,43.530116,-80.235903,5
503,0,0,
504,43.523394,-80.247158,5
505,43.473573,-80.521835,
506,43.533698,-80.281435,4
507,43.555178,-80.265278,3
508,43.551903,-80.251045,2
509,43.559413,-80.220569,1
510,43.570192,-80.255654,2
511,43.551903,-80.251045,2
512,43.546825,-80.256945,3
513,43.559567,-80.219996,1
514,43.5322,-80.279728,4
515,43.71391,-80.370657,
516,43.55449,-80.27206,3
517,43.534263,-80.257101,5
518,43.698566,-80.370762,
519,43.705791,-80.377738,
520,43.525129,-80.209871,5
521,43.552581,-80.275821,3
522,43.61921,-80.144432,
523,43.553355,-80.261491,3
524,43.46925,-80.223467,
525,43.570261,-80.232956,1
526,43.519714,-80.18803,6
527,43.543573,-80.239394,1
528,43.543535,-80.235529,1
529,43.576171,-80.249034,2
530,43.677446,-80.42998,
531,43.692943,-80.44813,
532,43.544258,-80.254348,3
533,43.528456,-80.243719,5
534,43.023457,-80.654319,
535,43.545528,-80.27242,3
536,43.546557,-80.250295,1
537,43.535378,-80.239363,5
538,43.509196,-80.252279,5
539,43.547296,-80.249881,1
540,43.535054,-80.253982,5
541,43.556596,-80.272496,3
542,43.536754,-80.276692,4
543,43.511283,-80.195784,6
544,43.507632,-80.184368,6
545,43.569654,-80.249382,2
546,43.792401,-80.144882,
547,43.530794,-80.267565,3
548,43.519176,-80.189637,6
549,43.53432,-80.258778,3
550,43.513852,-80.173246,6
551,43.542955,-80.255649,3
552,43.303889,-79.912929,
553,43.69608,-80.385266,
554,43.546328,-80.253065,3
555,43.516001,-80.177334,6
556,43.547099,-80.252738,1
557,43.570539,-80.212945,1
558,43.522958,-80.3039,4
559,43.522473,-80.209648,6
560,43.530979,-80.251622,5
561,43.516781,-80.242938,5
562,43.696569,-80.3713,
563,43.514914,-80.173582,6
564,43.515751,-80.237823,5
565,43.515751,-80.237823,5
566,43.558974,-80.2284,1
567,43.51189,-80.233888,5
568,43.516493,-80.17637,6
569,43.581645,-80.255667,2
570,43.558475,-80.257522,2
571,43.54842,-80.275244,3
572,43.544361,-80.239734,1
573,43.519504,-80.209275,6
574,43.532805,-80.241836,5
575,43.555276,-80.261455,2
576,43.696569,-80.3713,
577,43.537463,-80.240346,5
578,43.514914,-80.173582,6
579,43.514989,-80.226214,5
580,43.547539,-80.241163,1
581,43.534955,-80.256411,5
582,43.550926,-80.257708,2
583,43.518218,-80.245026,5
584,43.532464,-80.259118,5
585,43.549396,-80.24958,1
586,43.537341,-80.252444,5
587,43.516493,-80.17637,6
588,43.507789,-80.241541,6
589,43.537463,-80.240346,5
590,43.681755,-80.429804,
591,43.513852,-80.173246,6
592,43.570539,-80.212945,1
593,43.717008,-80.385544,
594,44.607854,-80.594302,
595,43.532464,-80.259118,5
596,43.519504,-80.209275,6
597,43.517174,-80.243284,5
598,43.569098,-80.237708,2
599,43.699553,-80.362733,
600,43.564421,-80.257104,2
601,43.534125,-80.278275,4
602,43.540497,-80.252108,3
603,43.513616,-80.199756,6
604,43.51584,-80.249293,5
605,0,0,
606,43.547825,-80.253472,1
607,43.537262,-80.293147,4
608,0,0,
609,43.542884,-80.242045,1
610,43.540843,-80.254615,3
611,43.719347,-80.379936,
612,43.520678,-80.18367,6
613,43.549939,-80.2425,1
614,43.899102,-80.315212,
615,43.680809,-80.430297,
616,43.536404,-80.256496,3
617,53.710387,-113.200055,
618,43.545308,-80.251656,1
619,43.536331,-80.256392,3
620,43.541729,-80.248582,5
621,43.519504,-80.209275,6
622,43.548643,-80.228187,1
623,43.544541,-80.239086,1
624,43.511659,-80.198765,6
625,43.52053,-80.18862,6
626,43.532021,-80.23578,5
627,43.565702,-80.233169,1
628,43.551661,-80.237019,1
629,43.556934,-80.231976,1
630,43.566426,-80.237967,1
631,43.545004,-80.248554,1
632,43.583021,-80.260301,2
633,43.553706,-80.268198,3
634,43.501177,-80.183989,6
635,43.512402,-80.173991,6
636,43.511124,-80.198953,6
637,43.512315,-80.210478,6
638,43.510044,-80.252968,5
639,43.511233,-80.19899,6
640,43.511197,-80.198944,6
641,43.519504,-80.209275,6
642,43.515129,-80.228343,5
643,43.526532,-80.284839,4
644,43.520439,-80.238313,5
645,43.512402,-80.173991,6
646,0,0,
647,43.538541,-80.248735,5
648,43.511659,-80.198765,6
649,43.51529,-80.238979,5
650,43.567817,-80.233613,1
651,43.507445,-80.188317,6
652,43.512499,-80.217513,6
653,43.495087,-80.195846,6
654,43.52108,-80.246595,5
655,43.511659,-80.198765,6
656,43.503866,-80.187473,6
657,43.520036,-80.20848,6
658,43.521986,-80.308986,4
659,43.532897,-80.258686,5
660,43.510651,-80.212477,6
661,43.510651,-80.212477,6
662,43.501776,-80.192452,6
663,43.501739,-80.19204,6
664,43.501776,-80.192452,6
665,43.543388,-80.235954,1
666,43.521429,-80.236873,5
667,0,0,
668,43.536344,-80.253902,5
669,43.583694,-80.268623,2
670,43.509795,-80.177552,6
671,43.741313,-80.945403,
672,43.546679,-80.244959,1
673,43.53035,-80.19449,
674,0,0,
675,43.544805,-80.248167,1
676,43.511659,-80.198765,6
677,43.504997,-80.186939,6
678,43.530031,-80.202963,6
679,43.504021,-80.19287,6
680,43.523238,-80.239815,5
681,43.52252,-80.214689,5
682,0,0,
683,43.52314,-80.273774,4
684,43.550226,-80.228951,1
685,43.530031,-80.202963,6
686,43.543388,-80.235954,1
687,43.541968,-80.261008,3
688,43.516557,-80.229955,5
689,43.52108,-80.246596,5
690,43.571164,-80.212748,1
691,43.538953,-80.256307,3
692,43.389475,-80.455772,
693,43.617359,-80.216529,
694,43.511514,-80.23793,5
695,43.510041,-80.250658,5
696,43.409428,-80.289202,
697,43.510041,-80.250658,5
698,43.51275,-80.234702,5
699,43.586471,-80.29915,
700,43.508806,-80.236416,5
701,43.506689,-80.189558,6
702,43.525421,-80.209299,6
703,43.514995,-80.190296,6
704,43.519034,-80.248851,5
705,43.509916,-80.195178,6
706,0,0,
707,43.513534,-80.255887,5
708,43.536853,-80.254085,5
709,43.554356,-80.232733,1
710,0,0,
711,43.513323,-80.216785,6
712,43.504601,-80.192256,6
713,43.517336,-80.177374,6
714,43.546679,-80.244959,1
715,43.536331,-80.256392,3
716,43.517392,-80.205824,6
717,43.228828,-80.566066,
718,43.704518,-80.378986,
719,43.516751,-80.17979,6
720,43.516751,-80.17979,6
721,43.545142,-80.248119,1
722,43.517337,-80.221185,5
723,43.643948,-79.38868,
724,43.615474,-80.139424,
725,43.83248,-80.537236,

